aah aha
scarper scraper
carping craping
scarping scraping
carps craps
scarp scrap
carted crated
crated traced
carter crater
crater tracer
carters craters
craters tracers
carting crating
crating tracing
carve crave
carved craved
carven craven
carver craver
carvers cravers
carves craves
carving craving
carvings cravings
cascabel cascable
cascabels cascables
cascade saccade
cascades saccades
chases chasse
cask sack
casked sacked
casking sacking
casks sacks
casque sacque
casques sacques
cassock cossack
cassocks cossacks
caste cesta
cates taces
castes cestas
castors costars
casual causal
casually causally
casuals causals
cate tace
cerated created
recrate retrace
retrace terrace
recrates retraces
retraces terraces
cause sauce
caused sauced
causer saucer
causes sauces
causing saucing
ceder cered
cered creed
center centre
decenter decentre
centers centres
cento conte
centos contes
cerate create
cerates creates
ceratin certain
ceratin creatin
cerci ceric
ceruse recuse
recuse secure
cerite recite
cerites recites
cero core
ceros cores
cores corse
course source
certes terces
certification rectification
certifications rectifications
certified rectified
certifier rectifier
certifiers rectifiers
certifies rectifies
certify rectify
certifying rectifying
certitude rectitude
certitudes rectitudes
ceruses recuses
recuses secures
cervices crevices
cess secs
latches satchel
chams chasm
chancres cranches
snatcher stancher
snatch stanch
sachet taches
snatches stanches
chicle cliche
chicles cliches
chiel chile
chiels chiles
chiles chisel
inched niched
inches niches
inching niching
chopine phocine
ocher ochre
oraches roaches
ochers ochres
citherns cithrens
cider dicer
dicer riced
ciders dicers
cine nice
cion coin
cion icon
coin coni
cions coins
cions icons
cipolin picolin
cipolins picolins
cithern cithren
tetracid tetradic
citrin nitric
clanged glanced
clanging glancing
claps clasp
clematis climates
clod cold
clods colds
closest closets
clot colt
clots colts
cloy coly
clutch cultch
clutches cultches
coal cola
cola loca
coals colas
coax coxa
cod doc
codder corded
code coed
coden coned
coder cored
codes coeds
codex coxed
cods docs
cohered ochered
cohering ochering
fico foci
coinfer conifer
coinfers conifers
collide collied
colonies colonise
combat tombac
combats tombacs
comet comte
comets comtes
compeer compere
compeers comperes
compiled complied
compiler complier
compilers compliers
compiles complies
complaint compliant
concent connect
concents connects
concerted concreted
concerting concreting
condoles consoled
condor cordon
condors cordons
conk nock
conked nocked
conking nocking
conks nocks
conservation conversation
conservations conversations
conserve converse
conserved conversed
conserves converses
conserving conversing
copes copse
copula cupola
copulas cupolas
cork rock
corked rocked
docker rocked
corker rocker
corkers rockers
corkier rockier
corkiest rockiest
corking rocking
corklike rocklike
corks rocks
corky rocky
corny crony
coroner crooner
coroners crooners
corps crops
electors electros
rectos sector
coset cotes
cost cots
costumer customer
costumers customers
cosy coys
coude douce
courses sources
couth touch
couther toucher
couthier touchier
couthiest touchiest
coves voces
lascar rascal
crafted fracted
recrated retraced
retraced terraced
recrating retracing
retracing terracing
creep crepe
creeps crepes
creepy crepey
crud curd
cruds curds
cruet curet
cruet eruct
curet cuter
eruct truce
cruets curets
cruets eructs
eructs truces
rectus recuts
crus curs
cruse curse
cures curse
cruses curses
curses cusser
crust curst
cud duc
cuds ducs
cumin mucin
cumins mucins
cups cusp
curacao curacoa
curacaos curacoas
curdier curried
curtesy curtsey
cusk suck
cusks sucks
cutesy cuteys
cylix xylic
dabbler rabbled
daddles saddled
dafter rafted
farted rafted
dag gad
dagger ragged
dags gads
dah had
dahs dash
dairies diaries
dairy diary
dairy yaird
hankered harkened
dale lade
deal lead
dales lades
deals leads
lades lased
dalles ladles
dallier rallied
dallies sallied
dam mad
dame made
dammer rammed
demander remanded
damper ramped
dams mads
monads nomads
danger gander
danger ranged
gander garden
dangered gandered
gandered gardened
dangering gandering
gandering gardening
dangers ganders
ganders gardens
danker darken
danker ranked
darken narked
narked ranked
dap pad
dapper rapped
daps pads
dear read
dears reads
darling larding
darn nard
nard rand
darns nards
nards rands
dart drat
drat trad
darts drats
shader shared
dashes sadhes
dashes sashed
sadhes sashed
dater rated
rated tared
dates sated
stade tsade
doat toad
doats toads
daw wad
dawdle waddle
dawdled waddled
dawdler waddler
dawdlers waddlers
dawdles waddles
dawdling waddling
dawed waded
dawing wading
daws wads
deaden deaned
dealer leader
dealers leaders
dealings leadings
dearer reader
dearer reared
reader reared
redear reread
redates sedater
dearies readies
hardest hardset
deary deray
deary ready
deceiver received
decenters decentres
deckel deckle
deckels deckles
decker recked
decliner reclined
recedes seceder
radicel radicle
radicels radicles
dedans desand
sadden sanded
deuced educed
deduces seduced
deem deme
deem meed
deems demes
deems meeds
deep peed
deer dere
deer dree
deer reed
dere dree
dere rede
rede reed
deers drees
deers reeds
redes reeds
redes seder
seder sered
dees seed
defacer refaced
defer refed
deferrer referred
defiler refiled
definer refined
deflower reflowed
deformer reformed
degrader regraded
regarded regraded
dei die
deification edification
deifications edifications
deified edified
deifier edifier
deifier reified
deifies edifies
deify edify
deifying edifying
signed singed
deil deli
deil diel
diel lied
deils delis
idles isled
diets dites
dites sited
dites tides
sited stied
del led
eld led
delayer relayed
sleeted steeled
listed silted
deliver relived
relived reviled
silvered slivered
lasted salted
salted slated
slated staled
insouled unsoiled
demies demise
demo dome
dome mode
demos domes
domes modes
denes dense
denotation detonation
denotations detonations
dens send
send sned
denser sender
dent tend
dented tended
indent intend
denting tending
indents intends
dents tends
deny dyne
parted prated
deposer reposed
podites posited
posited sopited
desired resided
deviser revised
derries redries
derries serried
desirer resider
desirers residers
derry redry
desert deters
discreet discrete
deserver reserved
reserved reversed
desex dexes
dexes sexed
designer resigned
desire reside
desires resides
desiring residing
diploes dipoles
detailer retailed
detainer retained
netted tented
detester retested
routed toured
deuce educe
deuces educes
deucing educing
devon doven
devons dovens
dew wed
dews weds
dey dye
deys dyes
dicker ricked
diddler riddled
didoes diodes
dies ides
ediles elides
diet dite
diet tied
dite tide
tide tied
differ riffed
dig gid
digger rigged
dignifies signified
digs gids
dim mid
dimer rimed
mired rimed
dimmer rimmed
dims mids
dine nide
dined nided
dines nides
dingles singled
dining niding
dink kind
dinkly kindly
dinks kinds
diol idol
diols idols
sloid solid
soldi solid
diopter dioptre
diopters dioptres
diploe dipole
dipper ripped
dire ride
direr drier
direr rider
direst driest
dirge ridge
dirges ridges
discanting distancing
dispel lisped
sliped spiled
dissention distension
dissentions distensions
dive vide
vide vied
diver rived
do od
dobber robbed
dodder rodded
dodged godded
dodging godding
doe ode
redo rode
doser rosed
does dose
does odes
dog god
doglike godlike
dogs gods
dole lode
doles lodes
doles soled
dols sold
dolt told
dom mod
domal modal
doms mods
don nod
done node
dongola gondola
dongolas gondolas
dons nods
doom mood
dooms moods
door odor
door rood
doorless odorless
doors odors
doors roods
doper roped
pored roped
dor rod
dormancies mordancies
dormancy mordancy
dormant mordant
dorp drop
drop prod
dorps drops
drops prods
dors rods
dors sord
dos ods
dos sod
doss sods
sloids solids
dost dots
dots tods
dot tod
dottel dottle
dottel lotted
dottels dottles
dotter rotted
doty tody
douser roused
roused soured
douses soused
dowel lowed
dower rowed
dowries rowdies
dowry rowdy
rowdy wordy
drabbest drabbets
drag grad
drags grads
laird liard
lairds liards
pared raped
spader spared
warder warred
rogued rouged
drugged grudged
drugging grudging
drupe prude
drupes prudes
dubber rubbed
ducker rucked
duds sudd
dues sued
sued used
duffel duffle
duffel luffed
duffels duffles
duffer ruffed
dune nude
nude unde
dunes nudes
dunged nudged
dunging nudging
united untied
duo oud
duo udo
duos ouds
duos udos
dup pud
dups puds
dure rude
rude rued
duster rusted
dwindles swindled
widen wined
dyker ryked
gelate legate
gelates legates
reagin regain
reagins regains
lear real
leasers sealers
earns nares
theaters theatres
seaters teasers
teasers tessera
seating teasing
eath hate
haet hate
haet heat
ebonies ebonise
pedicels pedicles
edile elide
eel lee
eels lees
lees seel
eery eyre
eyer eyre
eft fet
efts fets
egest geest
egests geests
regelate relegate
regelates relegates
eh he
ekes skee
seek skee
elan lean
elans leans
leaviest vealiest
elector electro
electrode electroed
elegies elegise
elegist elegits
elk lek
elks leks
eloin olein
eloins oleins
eludes leudes
elver lever
lever revel
elvers levers
levers revels
em me
seem seme
regimes remiges
mire rime
mires miser
mires rimes
mite time
emits smite
metis mites
mites times
smite stime
emprise imprese
premies premise
emprises impreses
encoder encored
endue undee
endues ensued
endures ensured
energies energise
enisle ensile
enisled ensiled
enisles ensiles
enisling ensiling
leno lone
enologies neologies
enology neology
essoin ossein
noesis noises
enrol nerol
enrols nerols
terreen terrene
terreens terrenes
tenia tinea
entires entries
latrines ratlines
eons noes
eons sone
noes nose
noes ones
nose sone
phase shape
epics spice
epos opes
peso pose
epoxide epoxied
er re
ere ree
goer gore
gore ogre
eros ores
ores roes
roes rose
rose sore
ers res
res ser
seers seres
erst rest
rest rets
rogue rouge
rogues rouges
liver livre
liver viler
livers livres
silver sliver
eses sees
lapises lipases
sprite stripe
sprites stripes
stirpes stripes
essoins osseins
reest reset
steer stere
reests resets
steers steres
ptoses stopes
insert inters
inters niters
niters nitres
triens trines
loiters toilers
russet tusser
etched teched
there three
theres threes
shote those
eulogies eulogise
roues rouse
eve vee
neves seven
ever veer
revest revets
verset verste
every veery
eves vees
evil veil
live vile
eviler veiler
relive revile
lively vilely
liveness vileness
livenesses vilenesses
evils veils
ewe wee
ewer weer
weer were
sewer sweer
ewes wees
example exempla
except expect
excepted expected
excepting expecting
excepts expects
excides excised
exist exits
exploder explored
eyen eyne
eyers eyres
fader fared
fain naif
fair fiar
fairs fiars
fakir kafir
fakirs kafirs
falcon flacon
falcons flacons
faltboat flatboat
faltboats flatboats
fare frae
fear frae
farmable framable
farmed framed
farmer framer
farmers framers
farming framing
faro fora
fart frat
fart raft
farting rafting
farts frats
farts rafts
fast fats
fate feta
feat feta
fates fetas
feast feats
feats fetas
fealty featly
reefed refeed
feel flee
feeling fleeing
feels flees
feet fete
felid filed
field filed
filed flied
felt left
felts lefts
femur fumer
femurs fumers
fer ref
fere free
feres frees
ferine refine
ferlies reflies
refiles reflies
ferly refly
ferried refried
refired refried
ferries refries
refires refries
ferritic terrific
ferry refry
ferrying refrying
fortes foster
foster softer
fief fife
fiefs fifes
fiend fined
flair frail
file life
lief life
filer flier
filer lifer
filers fliers
filers lifers
files flies
filter lifter
filters lifters
fire rife
fired fried
firer frier
firer rifer
firers friers
fires fries
fries frise
firth frith
firths friths
fist fits
fist sift
fisted sifted
fisting sifting
fists sifts
flairs frails
floats flotas
flooder floored
flour fluor
flours fluors
fluty fluyt
foal loaf
foaled loafed
foaling loafing
foals loafs
focuses fucoses
fodder forded
foetor footer
foetors footers
fool loof
fools loofs
for fro
foramen foreman
fore froe
fores froes
form from
forth froth
forward froward
infarct infract
freer frere
freers freres
freshest freshets
fret tref
frumenties furmenties
frumenty furmenty
furs surf
gaddi gadid
gaddis gadids
gaen gane
gal lag
gelatine legatine
gallate galleta
gallate tallage
gallates galletas
gallates tallages
gals lags
gam mag
gambler gambrel
gamblers gambrels
game mage
games mages
gamic magic
gamma magma
gammas magmas
gams mags
gan nag
ganged nagged
ganger nagger
gangers naggers
ganging nagging
gaol goal
gaoled goaled
gaoling goaling
gaols goals
gape page
gaped paged
gapes pages
gaping paging
gaps gasp
gar rag
gargle raggle
gargles raggles
garment margent
garmented margented
garmenting margenting
garments margents
garret garter
garter grater
garrets garters
garters graters
gars rags
gas sag
gases sages
gast gats
gats tags
gat tag
gateway getaway
gateways getaways
magus sagum
gaun guan
gaur guar
gayer yager
gel leg
gelated legated
gelating legating
gelation legation
gelations legations
geld gled
gelds gleds
gels legs
genets gentes
genro negro
sleeting steeling
genus negus
genuses neguses
gerent regent
gerents regents
maligner malinger
gest gets
gets tegs
get teg
ghast ghats
gilded glided
gilder glider
gilders gliders
gilding gliding
gingko ginkgo
gingkoes ginkgoes
gink king
ginks kings
gins sing
sign sing
gip pig
gips pigs
gird grid
girded grided
girding griding
girds grids
girn grin
girns grins
girt grit
grit trig
girth grith
girths griths
girts grits
grist grits
grits trigs
glans slang
glass slags
glede gleed
gledes gleeds
singlet tingles
gloss slogs
glover grovel
glovers grovels
gluer gruel
gluers gruels
glues gules
gules luges
hangs sangh
gnu gun
gnus guns
gnus snug
guns sung
snug sung
godling lodging
godlings lodgings
goers gores
gores gorse
gores ogres
goglets loggets
goiter goitre
goiters goitres
gong nogg
gonging nogging
gongs noggs
gory gyro
got tog
grandam grandma
grandams grandmas
targe terga
rating taring
grip prig
grips prigs
underdog undergod
gurged rugged
grummest grummets
guides guised
gul lug
guls lugs
gum mug
gums mugs
gunless gunsels
gurging rugging
gush sugh
hugs sugh
gushed sughed
gushing sughing
gust guts
guts tugs
gustier gutsier
gustiest gutsiest
gusty gutsy
gut tug
gutless tugless
hade haed
haed head
haems hames
haets haste
haets hates
haets heats
hahs hash
hallo holla
halloed hollaed
halloing hollaing
halloo holloa
hallooed holloaed
hallooing holloaing
halloos holloas
hallos hollas
handles handsel
handless handsels
hanker harken
hankerer harkener
hankerers harkeners
hankering harkening
hankers harkens
hap pah
haps hasp
hasp pash
haptene heptane
haptenes heptanes
hardier harried
rheas shear
haslets hatless
hasped pashed
phased shaped
hasping pashing
phasing shaping
hassel hassle
hast hats
hay yah
rochet tocher
rochets tochers
rotches torches
torches troches
hegari hegira
hegaris hegiras
shier shire
helios holies
henequin heniquen
henequins heniquens
shent thens
pastiche pistache
sherd shred
hereto hetero
shoer shore
hey yeh
hide hied
hider hired
shriek shrike
hins hisn
hins sinh
phis ship
hirsel hirsle
hirsels hirsles
shiers shires
hist hits
hits sith
hitter tither
hitters tithers
hitting tithing
ho oh
hoar hora
hoars horas
hoed ohed
hoes hose
holes hosel
homage ohmage
homages ohmages
hones hosen
hones nohes
hoop pooh
hooped poohed
hooping poohing
hoops poohs
hoots sooth
hop poh
hops soph
posh soph
hordes horsed
shoers shores
host hots
host tosh
hots soth
soth tosh
hotter tother
huddler hurdled
hurtles hustler
hurtless hustlers
shut thus
pythonic typhonic
icecap ipecac
icecaps ipecacs
idly idyl
kino oink
kinos oinks
ileus lieus
illicit illitic
illy lily
lily yill
impetus imputes
impure umpire
incest insect
incest nicest
incests insects
incudes incused
incudes induces
indented intended
indenter intender
indenters intenders
indenting intending
indues undies
nudies undies
ruinated urinated
inter niter
niter nitre
infarcts infracts
reinform reniform
signers singers
pouring rouping
kins sink
reinsert reinters
rusine ursine
minister misinter
intro nitro
intros nitros
untired untried
rise sire
irides irised
irks kris
is si
sanities sanitise
leis lies
ism sim
mis sim
isms sims
miss sims
theories theorise
it ti
its tis
sit tis
jar raj
jato jota
jatos jotas
jeered jereed
jest jets
jollity joltily
just juts
kae kea
kaes keas
kale lake
kales lakes
kame make
kames makes
kames samek
skean sneak
kaon koan
kaons koans
karn nark
nark rank
karns narks
knars snark
narks ranks
karst karts
kay yak
kays yaks
keel leek
keels leeks
keen knee
keening kneeing
keens knees
skeen skene
keep peek
peek peke
keeping peeking
keeps peeks
peeks pekes
skeet steek
keir kier
keirs kiers
siker skier
keister kiester
keisters kiesters
kenotic ketonic
reeky rekey
kilting kitling
kiltings kitlings
skip spik
kist kits
kite tike
kites tikes
kittel kittle
kleig klieg
skint stink
knops knosp
koa oka
oak oka
koas okas
koas soak
oaks okas
krait traik
kraits traiks
kue uke
kues ukes
kyte tyke
kytes tykes
lacey lycea
ladder larded
raddles saddler
ladron lardon
ladrons lardons
lairing railing
lameness maleness
lameness nameless
maleness maneless
maneless nameless
lamenesses malenesses
mantel mantle
mantel mental
mantels mantles
plasm psalm
lapper rappel
lappers rappels
leaps peals
pales salep
lapsing sapling
las sal
lascars rascals
lases sales
lass sals
lasting salting
salting slating
slating staling
lasts salts
salts slats
late tale
tael tale
tael teal
tale tela
teal tela
latent talent
latents talents
laterite literate
laterites literates
latrine ratline
lave leva
lave vale
leva vela
vale vela
veal vela
leaver vealer
leavers vealers
laver ravel
lavers ravels
salver slaver
serval versal
laves vales
salve slave
salve valse
vales valse
lawed waled
lawing waling
leap peal
leaped pealed
leaping pealing
leasable sealable
leased sealed
leaser sealer
reales sealer
leasing sealing
setal steal
slate stale
stale stela
steal stela
taels tales
taels teals
teals tesla
slates stales
leaved vealed
leavier vealier
leaving vealing
leavy vealy
leer reel
leered reeled
sleetier steelier
leering reeling
leers reels
sleet steel
steel stele
legist legits
mangel mangle
lei lie
lemon melon
lemons melons
lenes lense
lenis lines
liens lines
lenses lessen
lentil lintel
lentils lintels
leper repel
lepers repels
less sels
lest lets
levered reveled
levering reveling
leviable liveable
relives reviles
levin liven
levins livens
levo love
love vole
lewd weld
lewder welder
ley lye
leys lyes
lyes lyse
sild slid
lien line
lienable lineable
lienal lineal
lier lire
lier riel
lire rile
riel rile
liers riels
riels riles
lilt till
lilted tilled
lilting tilling
lilts tills
lime mile
limes miles
slime smile
limestone milestone
limestones milestones
limitary military
limo milo
limos milos
rimples simpler
limpest limpets
limpsy simply
lin nil
lino lion
lion loin
loin noil
linos lions
lions loins
loins noils
lins nils
lips lisp
sliping spiling
list lits
list silt
lits tils
silt slit
silt tils
liters litres
liters tilers
listing silting
lists silts
silts slits
lit til
liter litre
liter tiler
litter tilter
litters tilters
livest vilest
salon solan
loden olden
loess loses
loses soles
sloes soles
loiter toiler
melton molten
loom mool
looms mools
nolos solon
loop pool
polo pool
looped pooled
looping pooling
loops pools
polos pools
sloop spool
loot tool
looted tooled
looter tooler
looters toolers
looting tooling
loots lotos
loots tools
lotos sotol
sotol stool
lop pol
lope pole
loped poled
loper poler
lopers polers
lopes poles
loping poling
lops pols
lore role
orle role
lores loser
lores roles
lores sorel
orles roles
lose sole
sloe sole
losing soling
loss sols
lost lots
lotus louts
lotus tolus
louder loured
loused souled
louver louvre
louvers louvres
loved voled
loves voles
loving voling
lower rowel
lowered roweled
lowering roweling
lowers rowels
lowes lowse
nuclear unclear
plums slump
luna ulna
ulan ulna
lunar ulnar
lunas ulnas
ulans ulnas
lure rule
lured ruled
lurer ruler
lurers rulers
lures rules
luring ruling
luster lustre
luster ulster
lustre rustle
lusters lustres
lusters ulsters
lustres rustles
lustred rustled
lustring rustling
lute tule
lutes tules
mutuel mutule
macaber macabre
macerate racemate
macerates racemates
macho mocha
machos mochas
maligners malingers
manege menage
maneges menages
mangels mangles
ramson ransom
manos mason
manos monas
moans monas
monas nomas
manses mensas
mensas messan
many myna
mapper pamper
mappers pampers
marbled rambled
marbler rambler
marblers ramblers
marbling rambling
mares marse
mares maser
marital martial
marques masquer
marquess masquers
mast mats
mats tams
mat tam
mate meta
mate tame
meat meta
meat team
mated tamed
mateless tameless
mates satem
mates tames
meats teams
mating taming
mauger maugre
may yam
mays yams
meager meagre
meagerly meagrely
misdeal mislead
meet mete
meet teem
meeter teemer
meeters teemers
meeting teeming
meets metes
meets teems
melodies melodise
memo mome
memos momes
mense mesne
meters metres
meters retems
merises remises
merit remit
miter mitre
miter timer
merits remits
miters mitres
miters timers
meter metre
meter retem
remet retem
mho ohm
mhos ohms
ohms shmo
midden minded
midspaces misspaced
mien mine
miens mines
mildness mindless
millimho milliohm
millimhos milliohms
ministers misinters
teaming tegmina
minuet minute
minuets minutes
unmiter unmitre
mir rim
mirex mixer
mirier rimier
miriest rimiest
miring riming
mirs rims
miry rimy
misdealing misleading
misdeals misleads
samites tamises
miserly misrely
